drug,application_number,regulatory_application,orange_book
Birch Triterpenes,215064,"{""application_type"": ""NDA"", ""application_number"": ""215064"", ""registry"": ""orange_book"", ""center"": ""CDER"", ""proprietary_name"": ""FILSUVEZ"", ""applicant"": ""CHIESI FARMACEUTICI SPA"", ""first_approval_date"": ""2023-12-18""}","{""application_type"": ""N"", ""application_number"": ""215064"", ""ingredient"": ""BIRCH TRITERPENES"", ""trade_name"": ""FILSUVEZ"", ""applicant"": ""CHIESI"", ""applicant_full_name"": ""CHIESI FARMACEUTICI SPA"", ""products"": [{""product_number"": ""001"", ""strength"": ""10%"", ""dosage_form"": ""GEL"", ""route"": ""TOPICAL"", ""approval_date"": ""2023-12-18"", ""rld"": true, ""rs"": true, ""te_code"": null, ""marketing_type"": ""HUMAN PRESCRIPTION DRUG""}], ""patents"": [{""patent_number"": ""8828444"", ""expiration_date"": ""2027-06-21"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2024-02-16"", ""product_numbers"": [""001""]}, {""patent_number"": ""9352041"", ""expiration_date"": ""2030-11-24"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-3811"", ""delisted"": false, ""submission_date"": ""2024-02-16"", ""product_numbers"": [""001""]}, {""patent_number"": ""9827214"", ""expiration_date"": ""2030-11-24"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-3811"", ""delisted"": false, ""submission_date"": ""2024-02-16"", ""product_numbers"": [""001""]}, {""patent_number"": ""11083733"", ""expiration_date"": ""2039-01-04"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2024-02-16"", ""product_numbers"": [""001""]}, {""patent_number"": ""11266660"", ""expiration_date"": ""2039-01-04"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-3811"", ""delisted"": false, ""submission_date"": ""2024-02-16"", ""product_numbers"": [""001""]}, {""patent_number"": ""12268695"", ""expiration_date"": ""2039-01-04"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-3811"", ""delisted"": false, ""submission_date"": ""2025-05-02"", ""product_numbers"": [""001""]}], ""exclusivities"": [{""code"": ""NCE"", ""expiration_date"": ""2028-12-18"", ""product_numbers"": [""001""]}, {""code"": ""ODE-460"", ""expiration_date"": ""2030-12-18"", ""product_numbers"": [""001""]}], ""latest_patent_expiration"": ""2039-01-04"", ""latest_exclusivity_expiration"": ""2030-12-18"", ""data_file_date"": null}"
Brodalumab,761032,"{""application_type"": ""BLA"", ""application_number"": ""761032"", ""registry"": ""purple_book"", ""center"": ""CDER"", ""proprietary_name"": ""Siliq"", ""applicant"": ""Bausch Health Ireland, Limited"", ""first_approval_date"": ""2017-02-15""}",
Certolizumab,125160,"{""application_type"": ""BLA"", ""application_number"": ""125160"", ""registry"": ""purple_book"", ""center"": ""CDER"", ""proprietary_name"": ""Cimzia"", ""applicant"": ""UCB, Inc."", ""first_approval_date"": ""2008-04-22""}",
Clascoterone,213433,"{""application_type"": ""NDA"", ""application_number"": ""213433"", ""registry"": ""orange_book"", ""center"": ""CDER"", ""proprietary_name"": ""WINLEVI"", ""applicant"": ""SUN PHARMACEUTICAL INDUSTRIES LTD"", ""first_approval_date"": ""2020-08-26""}","{""application_type"": ""N"", ""application_number"": ""213433"", ""ingredient"": ""CLASCOTERONE"", ""trade_name"": ""WINLEVI"", ""applicant"": ""SUN PHARM"", ""applicant_full_name"": ""SUN PHARMACEUTICAL INDUSTRIES LTD"", ""products"": [{""product_number"": ""001"", ""strength"": ""1%"", ""dosage_form"": ""CREAM"", ""route"": ""TOPICAL"", ""approval_date"": ""2020-08-26"", ""rld"": true, ""rs"": true, ""te_code"": null, ""marketing_type"": ""HUMAN PRESCRIPTION DRUG""}], ""patents"": [{""patent_number"": ""8143240"", ""expiration_date"": ""2027-01-12"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-2942"", ""delisted"": false, ""submission_date"": ""2020-09-04"", ""product_numbers"": [""001""]}, {""patent_number"": ""11938141"", ""expiration_date"": ""2028-07-24"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2024-05-30"", ""product_numbers"": [""001""]}, {""patent_number"": ""12337002"", ""expiration_date"": ""2028-07-24"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-3280"", ""delisted"": false, ""submission_date"": ""2025-07-22"", ""product_numbers"": [""001""]}, {""patent_number"": ""9486458"", ""expiration_date"": ""2028-07-24"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-2942"", ""delisted"": false, ""submission_date"": ""2020-09-04"", ""product_numbers"": [""001""]}, {""patent_number"": ""10159682"", ""expiration_date"": ""2028-08-14"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-2942"", ""delisted"": false, ""submission_date"": ""2020-09-04"", ""product_numbers"": [""001""]}, {""patent_number"": ""11207332"", ""expiration_date"": ""2028-11-20"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-3280"", ""delisted"": false, ""submission_date"": ""2022-01-24"", ""product_numbers"": [""001""]}, {""patent_number"": ""9433628"", ""expiration_date"": ""2029-02-28"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2020-09-04"", ""product_numbers"": [""001""]}, {""patent_number"": ""8785427"", ""expiration_date"": ""2030-07-25"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2020-09-04"", ""product_numbers"": [""001""]}], ""exclusivities"": [], ""latest_patent_expiration"": ""2030-07-25"", ""latest_exclusivity_expiration"": null, ""data_file_date"": null}"
Clindamycin Phosphate/Benzoyl Peroxide/Adapalene,216632,"{""application_type"": ""NDA"", ""application_number"": ""216632"", ""registry"": ""orange_book"", ""center"": ""CDER"", ""proprietary_name"": ""CABTREO"", ""applicant"": ""BAUSCH HEALTH US LLC"", ""first_approval_date"": ""2023-10-20""}","{""application_type"": ""N"", ""application_number"": ""216632"", ""ingredient"": ""CLINDAMYCIN PHOSPHATE/BENZOYL PEROXIDE/ADAPALENE"", ""trade_name"": ""CABTREO"", ""applicant"": ""BAUSCH"", ""applicant_full_name"": ""BAUSCH HEALTH US LLC"", ""products"": [{""product_number"": ""001"", ""strength"": ""ADAPALENE 0.15%; BENZOYL PEROXIDE 3.1%; CLINDAMYCIN PHOSPHATE 1.2%"", ""dosage_form"": ""GEL"", ""route"": ""TOPICAL"", ""approval_date"": ""2023-10-20"", ""rld"": true, ""rs"": true, ""te_code"": null, ""marketing_type"": ""HUMAN PRESCRIPTION DRUG""}], ""patents"": [{""patent_number"": ""10220049"", ""expiration_date"": ""2029-06-03"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-3713"", ""delisted"": false, ""submission_date"": ""2023-11-02"", ""product_numbers"": [""001""]}, {""patent_number"": ""10624918"", ""expiration_date"": ""2029-06-03"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-3713"", ""delisted"": false, ""submission_date"": ""2023-11-02"", ""product_numbers"": [""001""]}, {""patent_number"": ""11389467"", ""expiration_date"": ""2040-12-28"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-3713"", ""delisted"": false, ""submission_date"": ""2023-11-02"", ""product_numbers"": [""001""]}, {""patent_number"": ""12128059"", ""expiration_date"": ""2040-07-31"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-3713"", ""delisted"": false, ""submission_date"": ""2024-11-08"", ""product_numbers"": [""001""]}, {""patent_number"": ""12133859"", ""expiration_date"": ""2040-07-31"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2024-11-22"", ""product_numbers"": [""001""]}, {""patent_number"": ""12138278"", ""expiration_date"": ""2040-07-31"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2024-12-06"", ""product_numbers"": [""001""]}, {""patent_number"": ""12616710"", ""expiration_date"": ""2040-07-31"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2026-05-21"", ""product_numbers"": [""001""]}, {""patent_number"": ""8288434"", ""expiration_date"": ""2029-08-05"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-3713"", ""delisted"": false, ""submission_date"": ""2023-11-02"", ""product_numbers"": [""001""]}, {""patent_number"": ""9561208"", ""expiration_date"": ""2029-06-03"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-3713"", ""delisted"": false, ""submission_date"": ""2023-11-02"", ""product_numbers"": [""001""]}], ""exclusivities"": [{""code"": ""NP"", ""expiration_date"": ""2026-10-20"", ""product_numbers"": [""001""]}], ""latest_patent_expiration"": ""2040-12-28"", ""latest_exclusivity_expiration"": ""2026-10-20"", ""data_file_date"": null}"
Crisaborole,207695,"{""application_type"": ""NDA"", ""application_number"": ""207695"", ""registry"": ""orange_book"", ""center"": ""CDER"", ""proprietary_name"": ""EUCRISA"", ""applicant"": ""ANACOR PHARMACEUTICALS INC"", ""first_approval_date"": ""2016-12-14""}","{""application_type"": ""N"", ""application_number"": ""207695"", ""ingredient"": ""CRISABOROLE"", ""trade_name"": ""EUCRISA"", ""applicant"": ""ANACOR PHARMS INC"", ""applicant_full_name"": ""ANACOR PHARMACEUTICALS INC"", ""products"": [{""product_number"": ""001"", ""strength"": ""2%"", ""dosage_form"": ""OINTMENT"", ""route"": ""TOPICAL"", ""approval_date"": ""2016-12-14"", ""rld"": true, ""rs"": true, ""te_code"": null, ""marketing_type"": ""HUMAN PRESCRIPTION DRUG""}], ""patents"": [{""patent_number"": ""8501712"", ""expiration_date"": ""2027-02-16"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-1932"", ""delisted"": false, ""submission_date"": ""2017-01-12"", ""product_numbers"": [""001""]}, {""patent_number"": ""9682092"", ""expiration_date"": ""2027-02-16"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-1932"", ""delisted"": false, ""submission_date"": ""2017-07-14"", ""product_numbers"": [""001""]}, {""patent_number"": ""8501712*PED"", ""expiration_date"": ""2027-08-16"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": null, ""product_numbers"": [""001""]}, {""patent_number"": ""9682092*PED"", ""expiration_date"": ""2027-08-16"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": null, ""product_numbers"": [""001""]}, {""patent_number"": ""8039451"", ""expiration_date"": ""2029-06-29"", ""drug_substance_claim"": true, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2017-01-12"", ""product_numbers"": [""001""]}, {""patent_number"": ""8039451*PED"", ""expiration_date"": ""2029-12-29"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": null, ""product_numbers"": [""001""]}, {""patent_number"": ""8168614"", ""expiration_date"": ""2030-01-20"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-1932"", ""delisted"": false, ""submission_date"": ""2017-01-12"", ""product_numbers"": [""001""]}, {""patent_number"": ""8168614*PED"", ""expiration_date"": ""2030-07-20"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": null, ""product_numbers"": [""001""]}], ""exclusivities"": [{""code"": ""D-191"", ""expiration_date"": ""2026-04-03"", ""product_numbers"": [""001""]}], ""latest_patent_expiration"": ""2030-07-20"", ""latest_exclusivity_expiration"": ""2026-04-03"", ""data_file_date"": null}"
Delgocitinib,219155,"{""application_type"": ""NDA"", ""application_number"": ""219155"", ""registry"": ""orange_book"", ""center"": ""CDER"", ""proprietary_name"": ""ANZUPGO"", ""applicant"": ""LEO PHARMA AS"", ""first_approval_date"": ""2025-07-23""}","{""application_type"": ""N"", ""application_number"": ""219155"", ""ingredient"": ""DELGOCITINIB"", ""trade_name"": ""ANZUPGO"", ""applicant"": ""LEO PHARMA AS"", ""applicant_full_name"": ""LEO PHARMA AS"", ""products"": [{""product_number"": ""001"", ""strength"": ""2%"", ""dosage_form"": ""CREAM"", ""route"": ""TOPICAL"", ""approval_date"": ""2025-07-23"", ""rld"": true, ""rs"": true, ""te_code"": null, ""marketing_type"": ""HUMAN PRESCRIPTION DRUG""}], ""patents"": [{""patent_number"": ""8609647"", ""expiration_date"": ""2031-09-19"", ""drug_substance_claim"": true, ""drug_product_claim"": true, ""patent_use_code"": ""U-4237"", ""delisted"": false, ""submission_date"": ""2025-08-21"", ""product_numbers"": [""001""]}], ""exclusivities"": [{""code"": ""NCE"", ""expiration_date"": ""2030-07-23"", ""product_numbers"": [""001""]}], ""latest_patent_expiration"": ""2031-09-19"", ""latest_exclusivity_expiration"": ""2030-07-23"", ""data_file_date"": null}"
Deucravacitinib,214958,"{""application_type"": ""NDA"", ""application_number"": ""214958"", ""registry"": ""orange_book"", ""center"": ""CDER"", ""proprietary_name"": ""SOTYKTU"", ""applicant"": ""BRISTOL MYERS SQUIBB CO"", ""first_approval_date"": ""2022-09-09""}","{""application_type"": ""N"", ""application_number"": ""214958"", ""ingredient"": ""DEUCRAVACITINIB"", ""trade_name"": ""SOTYKTU"", ""applicant"": ""BRISTOL"", ""applicant_full_name"": ""BRISTOL MYERS SQUIBB CO"", ""products"": [{""product_number"": ""001"", ""strength"": ""6MG"", ""dosage_form"": ""TABLET"", ""route"": ""ORAL"", ""approval_date"": ""2022-09-09"", ""rld"": true, ""rs"": true, ""te_code"": null, ""marketing_type"": ""HUMAN PRESCRIPTION DRUG""}], ""patents"": [{""patent_number"": ""10000480"", ""expiration_date"": ""2033-11-07"", ""drug_substance_claim"": true, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2022-10-04"", ""product_numbers"": [""001""]}, {""patent_number"": ""11021475"", ""expiration_date"": ""2033-11-07"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-3434"", ""delisted"": false, ""submission_date"": ""2022-10-04"", ""product_numbers"": [""001""]}, {""patent_number"": ""RE47929"", ""expiration_date"": ""2033-11-07"", ""drug_substance_claim"": true, ""drug_product_claim"": true, ""patent_use_code"": ""U-3434"", ""delisted"": false, ""submission_date"": ""2022-10-04"", ""product_numbers"": [""001""]}, {""patent_number"": ""12521390"", ""expiration_date"": ""2043-02-11"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-4451"", ""delisted"": false, ""submission_date"": ""2026-02-09"", ""product_numbers"": [""001""]}], ""exclusivities"": [{""code"": ""NCE"", ""expiration_date"": ""2027-09-09"", ""product_numbers"": [""001""]}, {""code"": ""I-986"", ""expiration_date"": ""2029-03-06"", ""product_numbers"": [""001""]}], ""latest_patent_expiration"": ""2043-02-11"", ""latest_exclusivity_expiration"": ""2029-03-06"", ""data_file_date"": null}"
Deuruxolitinib,217900,"{""application_type"": ""NDA"", ""application_number"": ""217900"", ""registry"": ""orange_book"", ""center"": ""CDER"", ""proprietary_name"": ""LEQSELVI"", ""applicant"": ""SUN PHARMACEUTICAL INDUSTRIES INC"", ""first_approval_date"": ""2024-07-25""}","{""application_type"": ""N"", ""application_number"": ""217900"", ""ingredient"": ""DEURUXOLITINIB"", ""trade_name"": ""LEQSELVI"", ""applicant"": ""SUN PHARM INDS INC"", ""applicant_full_name"": ""SUN PHARMACEUTICAL INDUSTRIES INC"", ""products"": [{""product_number"": ""001"", ""strength"": ""EQ 8MG BASE"", ""dosage_form"": ""TABLET"", ""route"": ""ORAL"", ""approval_date"": ""2024-07-25"", ""rld"": true, ""rs"": true, ""te_code"": null, ""marketing_type"": ""HUMAN PRESCRIPTION DRUG""}], ""patents"": [{""patent_number"": ""10561659"", ""expiration_date"": ""2037-05-04"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-3976"", ""delisted"": false, ""submission_date"": ""2024-08-23"", ""product_numbers"": [""001""]}, {""patent_number"": ""12076323"", ""expiration_date"": ""2037-05-04"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-3976"", ""delisted"": false, ""submission_date"": ""2024-10-01"", ""product_numbers"": [""001""]}, {""patent_number"": ""11919907"", ""expiration_date"": ""2041-05-21"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-3976"", ""delisted"": false, ""submission_date"": ""2024-08-23"", ""product_numbers"": [""001""]}, {""patent_number"": ""12285432"", ""expiration_date"": ""2042-08-11"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-3976"", ""delisted"": false, ""submission_date"": ""2025-05-29"", ""product_numbers"": [""001""]}, {""patent_number"": ""12247034"", ""expiration_date"": ""2044-05-10"", ""drug_substance_claim"": true, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2025-04-08"", ""product_numbers"": [""001""]}, {""patent_number"": ""12364699"", ""expiration_date"": ""2044-10-10"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-3976"", ""delisted"": false, ""submission_date"": ""2025-08-21"", ""product_numbers"": [""001""]}], ""exclusivities"": [{""code"": ""NCE"", ""expiration_date"": ""2029-07-25"", ""product_numbers"": [""001""]}], ""latest_patent_expiration"": ""2044-10-10"", ""latest_exclusivity_expiration"": ""2029-07-25"", ""data_file_date"": null}"
Difamilast,219474,"{""application_type"": ""NDA"", ""application_number"": ""219474"", ""registry"": ""orange_book"", ""center"": ""CDER"", ""proprietary_name"": ""ADQUEY"", ""applicant"": ""Acrotech Biopharma Inc"", ""first_approval_date"": ""2026-02-12""}","{""application_type"": ""N"", ""application_number"": ""219474"", ""ingredient"": ""DIFAMILAST"", ""trade_name"": ""ADQUEY"", ""applicant"": ""ACROTECH BIOPHARMA"", ""applicant_full_name"": ""ACROTECH BIOPHARMA INC"", ""products"": [{""product_number"": ""001"", ""strength"": ""1%"", ""dosage_form"": ""OINTMENT"", ""route"": ""TOPICAL"", ""approval_date"": ""2026-02-12"", ""rld"": true, ""rs"": true, ""te_code"": null, ""marketing_type"": ""HUMAN PRESCRIPTION DRUG""}], ""patents"": [{""patent_number"": ""10588893"", ""expiration_date"": ""2036-12-31"", ""drug_substance_claim"": true, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2026-03-11"", ""product_numbers"": [""001""]}, {""patent_number"": ""RE46792"", ""expiration_date"": ""2028-03-01"", ""drug_substance_claim"": true, ""drug_product_claim"": true, ""patent_use_code"": ""U-4445"", ""delisted"": false, ""submission_date"": ""2026-03-11"", ""product_numbers"": [""001""]}], ""exclusivities"": [{""code"": ""NCE"", ""expiration_date"": ""2031-02-12"", ""product_numbers"": [""001""]}], ""latest_patent_expiration"": ""2036-12-31"", ""latest_exclusivity_expiration"": ""2031-02-12"", ""data_file_date"": null}"
Dupilumab,761055,"{""application_type"": ""BLA"", ""application_number"": ""761055"", ""registry"": ""purple_book"", ""center"": ""CDER"", ""proprietary_name"": ""Dupixent"", ""applicant"": ""Regeneron Pharmaceuticals, Inc."", ""first_approval_date"": ""2017-03-28""}",
Efinaconazole,203567,"{""application_type"": ""NDA"", ""application_number"": ""203567"", ""registry"": ""orange_book"", ""center"": ""CDER"", ""proprietary_name"": ""JUBLIA"", ""applicant"": ""BAUSCH HEALTH AMERICAS INC"", ""first_approval_date"": ""2014-06-06""}","{""application_type"": ""N"", ""application_number"": ""203567"", ""ingredient"": ""EFINACONAZOLE"", ""trade_name"": ""JUBLIA"", ""applicant"": ""BAUSCH"", ""applicant_full_name"": ""BAUSCH HEALTH AMERICAS INC"", ""products"": [{""product_number"": ""001"", ""strength"": ""10%"", ""dosage_form"": ""SOLUTION"", ""route"": ""TOPICAL"", ""approval_date"": ""2014-06-06"", ""rld"": true, ""rs"": true, ""te_code"": null, ""marketing_type"": ""HUMAN PRESCRIPTION DRUG""}], ""patents"": [{""patent_number"": ""7214506"", ""expiration_date"": ""2026-02-22"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-281"", ""delisted"": false, ""submission_date"": ""2014-06-20"", ""product_numbers"": [""001""]}, {""patent_number"": ""10512640"", ""expiration_date"": ""2028-01-03"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-1969"", ""delisted"": false, ""submission_date"": ""2020-01-08"", ""product_numbers"": [""001""]}, {""patent_number"": ""10828369"", ""expiration_date"": ""2028-01-03"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2020-12-02"", ""product_numbers"": [""001""]}, {""patent_number"": ""11213519"", ""expiration_date"": ""2028-01-03"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-2720"", ""delisted"": false, ""submission_date"": ""2022-01-20"", ""product_numbers"": [""001""]}, {""patent_number"": ""11872218"", ""expiration_date"": ""2028-01-03"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-1969"", ""delisted"": false, ""submission_date"": ""2024-02-09"", ""product_numbers"": [""001""]}, {""patent_number"": ""9566272"", ""expiration_date"": ""2028-01-03"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-1969"", ""delisted"": false, ""submission_date"": ""2017-02-22"", ""product_numbers"": [""001""]}, {""patent_number"": ""9877955"", ""expiration_date"": ""2028-01-03"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-1969"", ""delisted"": false, ""submission_date"": ""2018-01-31"", ""product_numbers"": [""001""]}, {""patent_number"": ""10105444"", ""expiration_date"": ""2030-07-08"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2018-10-24"", ""product_numbers"": [""001""]}, {""patent_number"": ""8039494"", ""expiration_date"": ""2030-07-08"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-281"", ""delisted"": false, ""submission_date"": ""2014-06-20"", ""product_numbers"": [""001""]}, {""patent_number"": ""9861698"", ""expiration_date"": ""2030-07-08"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2018-01-10"", ""product_numbers"": [""001""]}, {""patent_number"": ""8486978"", ""expiration_date"": ""2030-10-24"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2014-06-20"", ""product_numbers"": [""001""]}, {""patent_number"": ""9302009"", ""expiration_date"": ""2030-10-24"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2016-04-25"", ""product_numbers"": [""001""]}, {""patent_number"": ""10342875"", ""expiration_date"": ""2034-10-02"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-2720"", ""delisted"": false, ""submission_date"": ""2019-07-12"", ""product_numbers"": [""001""]}, {""patent_number"": ""10828293"", ""expiration_date"": ""2034-10-02"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-2720"", ""delisted"": false, ""submission_date"": ""2020-12-02"", ""product_numbers"": [""001""]}, {""patent_number"": ""10864274"", ""expiration_date"": ""2034-10-02"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-2720"", ""delisted"": false, ""submission_date"": ""2021-01-07"", ""product_numbers"": [""001""]}, {""patent_number"": ""11654139"", ""expiration_date"": ""2034-10-02"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-1969"", ""delisted"": false, ""submission_date"": ""2023-06-14"", ""product_numbers"": [""001""]}, {""patent_number"": ""9662394"", ""expiration_date"": ""2034-10-02"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2017-05-30"", ""product_numbers"": [""001""]}, {""patent_number"": ""10478601"", ""expiration_date"": ""2035-04-25"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-2721"", ""delisted"": false, ""submission_date"": ""2019-12-17"", ""product_numbers"": [""001""]}], ""exclusivities"": [], ""latest_patent_expiration"": ""2035-04-25"", ""latest_exclusivity_expiration"": null, ""data_file_date"": null}"
